engine/src\animation\Animator.cpp:206: warning: Animator::Update has 72 NLOC, 19 CCN, 517 token, 2 PARAM, 82 length, 0 ND
engine/src\core\WinApp.cpp:127: warning: WinApp::WindowProc has 57 NLOC, 17 CCN, 424 token, 4 PARAM, 61 length, 0 ND
engine/src\font\TextRenderer.cpp:218: warning: CalculateTextLayout has 129 NLOC, 39 CCN, 785 token, 5 PARAM, 134 length, 0 ND
engine/src\graphics\RenderSurface.cpp:192: warning: RenderSurface::CreateResources has 121 NLOC, 18 CCN, 1055 token, 2 PARAM, 127 length, 0 ND
engine/src\runtime\BehaviorRegistry.cpp:9: warning: BehaviorRegistry::Register has 66 NLOC, 44 CCN, 609 token, 5 PARAM, 66 length, 0 ND
engine/src\runtime\TriggerSystem.cpp:10: warning: TriggerSystem::Update has 69 NLOC, 32 CCN, 578 token, 2 PARAM, 73 length, 0 ND
engine/src\world\World.cpp:44: warning: World::DuplicateEntityHierarchy has 109 NLOC, 19 CCN, 792 token, 1 PARAM, 112 length, 0 ND
engine/src\world\World.cpp:157: warning: World::InstantiateEntityHierarchies has 96 NLOC, 26 CCN, 682 token, 4 PARAM, 98 length, 0 ND
engine/src\world\World.cpp:587: warning: World::ReplaceEntities has 394 NLOC, 298 CCN, 3503 token, 2 PARAM, 395 length, 0 ND
engine/src\world\WorldSerializer.cpp:305: warning: WorldSerializer::Serialize has 410 NLOC, 60 CCN, 2933 token, 1 PARAM, 410 length, 0 ND
engine/src\world\WorldSerializer.cpp:716: warning: WorldSerializer::Deserialize has 1258 NLOC, 659 CCN, 10874 token, 3 PARAM, 1259 length, 0 ND
editor/src\AssetImportPlanner.cpp:230: warning: TokenizeAssetReferenceLine has 48 NLOC, 25 CCN, 345 token, 1 PARAM, 48 length, 0 ND
editor/src\AssetImportPlanner.cpp:360: warning: CollectMtlTextures has 47 NLOC, 16 CCN, 344 token, 4 PARAM, 47 length, 0 ND
editor/src\AssetImportPlanner.cpp:495: warning: AssetImport::BuildPlan has 43 NLOC, 16 CCN, 324 token, 3 PARAM, 43 length, 0 ND
editor/src\EditorScene.cpp:294: warning: CollectInputActionUsages has 63 NLOC, 17 CCN, 399 token, 3 PARAM, 63 length, 0 ND
editor/src\EditorScene.cpp:727: warning: EditorScene::Initialize has 78 NLOC, 21 CCN, 662 token, 1 PARAM, 78 length, 0 ND
editor/src\EditorScene.cpp:806: warning: EditorScene::Update has 84 NLOC, 52 CCN, 693 token, 0 PARAM, 84 length, 0 ND
editor/src\EditorScene.cpp:1063: warning: EditorScene::BuildPlayerPackage has 54 NLOC, 16 CCN, 335 token, 1 PARAM, 57 length, 0 ND
editor/src\EditorScene.cpp:1154: warning: EditorScene::DrawMainMenu has 192 NLOC, 53 CCN, 1269 token, 0 PARAM, 192 length, 0 ND
editor/src\EditorScene.cpp:1475: warning: EditorScene::DrawPanels has 282 NLOC, 66 CCN, 2070 token, 0 PARAM, 287 length, 0 ND
editor/src\EditorScene.cpp:1832: warning: EditorScene::DrawProjectSettingsWindow has 518 NLOC, 106 CCN, 3532 token, 0 PARAM, 529 length, 0 ND
editor/src\EditorScene.cpp:2509: warning: EditorScene::FinishScriptCompilation has 70 NLOC, 16 CCN, 442 token, 0 PARAM, 71 length, 0 ND
editor/src\EditorScene.cpp:2601: warning: EditorScene::DrawConsolePanel has 122 NLOC, 37 CCN, 916 token, 0 PARAM, 123 length, 0 ND
editor/src\EditorScene.cpp:2725: warning: EditorScene::DrawProjectPanel has 162 NLOC, 37 CCN, 1297 token, 0 PARAM, 165 length, 0 ND
editor/src\EditorScene.cpp:2914: warning: EditorScene::DrawAssetBrowserEntry has 133 NLOC, 61 CCN, 985 token, 2 PARAM, 133 length, 0 ND
editor/src\EditorScene.cpp:3048: warning: EditorScene::DrawSelectedAssetDetails has 119 NLOC, 37 CCN, 825 token, 0 PARAM, 121 length, 0 ND
editor/src\EditorScene.cpp:3170: warning: EditorScene::DrawAssetPreviewPopup has 185 NLOC, 44 CCN, 1441 token, 0 PARAM, 187 length, 0 ND
editor/src\EditorScene.cpp:3384: warning: EditorScene::DrawAssetOperationDialogs has 93 NLOC, 26 CCN, 627 token, 0 PARAM, 95 length, 0 ND
editor/src\EditorScene.cpp:3480: warning: EditorScene::RenamePendingAsset has 61 NLOC, 17 CCN, 468 token, 0 PARAM, 61 length, 0 ND
editor/src\EditorScene.cpp:3644: warning: EditorScene::ImportAssetFiles has 106 NLOC, 28 CCN, 755 token, 1 PARAM, 110 length, 0 ND
editor/src\EditorScene.cpp:3782: warning: EditorScene::SelectAssetReferences has 79 NLOC, 31 CCN, 584 token, 2 PARAM, 79 length, 0 ND
editor/src\EditorScene.cpp:3867: warning: EditorScene::CountAssetReferences has 69 NLOC, 29 CCN, 504 token, 2 PARAM, 69 length, 0 ND
editor/src\EditorScene.cpp:3983: warning: EditorScene::DrawHierarchyPanel has 92 NLOC, 34 CCN, 675 token, 0 PARAM, 92 length, 0 ND
editor/src\EditorScene.cpp:4181: warning: EditorScene::CreateUiEntity has 181 NLOC, 37 CCN, 1356 token, 2 PARAM, 187 length, 0 ND
editor/src\EditorScene.cpp:4396: warning: EditorScene::DrawEntityNode has 199 NLOC, 77 CCN, 1655 token, 1 PARAM, 200 length, 0 ND
editor/src\EditorScene.cpp:4597: warning: EditorScene::DrawInspectorPanel has 3360 NLOC, 764 CCN, 22236 token, 0 PARAM, 3396 length, 0 ND
editor/src\EditorScene.cpp:7994: warning: EditorScene::HandleEditorShortcuts has 92 NLOC, 39 CCN, 591 token, 0 PARAM, 92 length, 0 ND
editor/src\EditorScene.cpp:8119: warning: EditorScene::SelectHierarchyEntity has 53 NLOC, 17 CCN, 341 token, 3 PARAM, 53 length, 0 ND
editor/src\EditorScene.cpp:8300: warning: EditorScene::MoveSelectionAdjacentTo has 45 NLOC, 17 CCN, 324 token, 3 PARAM, 46 length, 0 ND
editor/src\EditorScene.cpp:8482: warning: EditorScene::ReparentSelection has 96 NLOC, 27 CCN, 666 token, 2 PARAM, 99 length, 0 ND
editor/src\EditorScene.cpp:8959: warning: EditorScene::HandleSceneCameraControls has 134 NLOC, 39 CCN, 981 token, 3 PARAM, 139 length, 0 ND
editor/src\EditorScene.cpp:9287: warning: EditorScene::SaveSelectionAsPrefab has 73 NLOC, 21 CCN, 495 token, 0 PARAM, 75 length, 0 ND
editor/src\EditorScene.cpp:9459: warning: EditorScene::RefreshAssetBrowser has 130 NLOC, 48 CCN, 1137 token, 0 PARAM, 133 length, 0 ND
editor/src\EditorScene.cpp:9746: warning: EditorScene::ResolveMeshResources has 85 NLOC, 36 CCN, 655 token, 0 PARAM, 85 length, 0 ND
editor/src\EditorScene.cpp:10029: warning: EditorScene::DrawGameUi has 1188 NLOC, 368 CCN, 7246 token, 3 PARAM, 1201 length, 0 ND
editor/src\EditorScene.cpp:11231: warning: EditorScene::HandleGameUiEditing has 402 NLOC, 95 CCN, 2896 token, 2 PARAM, 411 length, 0 ND
editor/src\EditorScene.cpp:11643: warning: EditorScene::BuildRenderScene has 145 NLOC, 45 CCN, 1057 token, 0 PARAM, 145 length, 0 ND
editor/src\EditorScene.cpp:11894: warning: EditorScene::BeginRuntimeWorld has 60 NLOC, 22 CCN, 380 token, 1 PARAM, 60 length, 0 ND
editor/src\EditorScene.cpp:11955: warning: EditorScene::BeginEditAnimatorPreview has 45 NLOC, 19 CCN, 398 token, 1 PARAM, 45 length, 0 ND
editor/src\EditorScene.cpp:12042: warning: EditorScene::BeginRuntimeAnimators has 85 NLOC, 31 CCN, 679 token, 1 PARAM, 85 length, 0 ND
editor/src\EditorScene.cpp:12176: warning: EditorScene::UpdateRuntimeWorld has 105 NLOC, 47 CCN, 674 token, 1 PARAM, 105 length, 0 ND
editor/src\EditorScene.cpp:12334: warning: EditorScene::UpdateRuntimeAnimators has 71 NLOC, 26 CCN, 594 token, 1 PARAM, 71 length, 0 ND
editor/src\EditorScene.cpp:12427: warning: EditorScene::BeginRuntimeAudio has 52 NLOC, 19 CCN, 352 token, 1 PARAM, 52 length, 0 ND
editor/src\EditorScene.cpp:12480: warning: EditorScene::UpdateRuntimeAudio has 152 NLOC, 49 CCN, 1068 token, 0 PARAM, 155 length, 0 ND
editor/src\EditorScene.cpp:12712: warning: EditorScene::PickSceneEntity has 93 NLOC, 36 CCN, 677 token, 3 PARAM, 94 length, 0 ND
editor/src\EditorScene.cpp:12807: warning: EditorScene::DrawSceneComponentGizmos has 379 NLOC, 101 CCN, 3918 token, 2 PARAM, 385 length, 0 ND
editor/src\EditorScene.cpp:13193: warning: EditorScene::DrawSceneSelectionOutline has 93 NLOC, 26 CCN, 1042 token, 2 PARAM, 93 length, 0 ND
editor/src\EditorScene.cpp:13287: warning: EditorScene::DrawSceneGizmoToolbar has 103 NLOC, 18 CCN, 729 token, 0 PARAM, 103 length, 0 ND
editor/src\EditorScene.cpp:13391: warning: EditorScene::DrawBoxColliderGizmo has 116 NLOC, 26 CCN, 814 token, 2 PARAM, 123 length, 0 ND
editor/src\EditorScene.cpp:13515: warning: EditorScene::DrawCharacterControllerGizmo has 150 NLOC, 31 CCN, 1051 token, 2 PARAM, 157 length, 0 ND
editor/src\EditorScene.cpp:13673: warning: EditorScene::DrawSceneTransformGizmo has 115 NLOC, 33 CCN, 811 token, 2 PARAM, 119 length, 0 ND
editor/src\InputSettingsStore.cpp:93: warning: InputSettingsStore::Load has 98 NLOC, 52 CCN, 832 token, 2 PARAM, 98 length, 0 ND
editor/src\main.cpp:81: warning: WinMain has 82 NLOC, 21 CCN, 559 token, 4 PARAM, 89 length, 0 ND
editor/src\PhysicsSettingsStore.cpp:58: warning: PhysicsSettingsStore::Load has 51 NLOC, 23 CCN, 392 token, 2 PARAM, 51 length, 0 ND
editor/src\PlayerPackageBuilder.cpp:100: warning: PlayerPackageBuilder::Build has 157 NLOC, 42 CCN, 1005 token, 2 PARAM, 161 length, 0 ND
editor/src\PlayerSettingsStore.cpp:29: warning: PlayerSettingsStore::Load has 48 NLOC, 23 CCN, 344 token, 2 PARAM, 48 length, 0 ND
editor/src\ProjectDescriptor.cpp:81: warning: ProjectDescriptor::Load has 55 NLOC, 27 CCN, 551 token, 3 PARAM, 55 length, 0 ND
editor/src\ProjectDescriptor.cpp:137: warning: ProjectDescriptor::Create has 94 NLOC, 18 CCN, 684 token, 4 PARAM, 97 length, 0 ND
editor/src\ProjectScriptLibrary.cpp:70: warning: ProjectScriptLibrary::Load has 175 NLOC, 72 CCN, 1263 token, 4 PARAM, 178 length, 0 ND
editor/src\RecentProjectsStore.cpp:63: warning: RecentProjectsStore::Load has 33 NLOC, 19 CCN, 283 token, 0 PARAM, 33 length, 0 ND
editor/src\ScriptBuildService.cpp:492: warning: ScriptBuildService::BuildIfNeeded has 58 NLOC, 22 CCN, 433 token, 2 PARAM, 58 length, 0 ND
tests\world\WorldTests.cpp:327: warning: main has 2575 NLOC, 939 CCN, 19434 token, 0 PARAM, 2600 length, 0 ND
projects/test/assets/Scripts\FirstPersonController.cpp:158: warning: FirstPersonController::OnUpdate has 64 NLOC, 18 CCN, 560 token, 3 PARAM, 67 length, 0 ND
